C14,C1,V317,V308,card6,V306,V126,C11,C6,V282,TransactionAmt,V53,P_emaildomain,card5,C13,V35,V280,V279,card2,V258,M6,V90,V82,TransactionDT,C2,V87,V294,C12,V313,id_06,isFraud,TransactionID
2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0.0,72.142,0.0,19,224.0,3.0,0.0,0.0,0.0,408.0,1.0,0,0.0,1.0,6300942,3.0,1.0,0.0,2.0,0.0,0.0,0,3249080
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,45.194,0.0,19,224.0,1.0,0.0,0.0,0.0,500.0,1.0,0,0.0,1.0,9247518,1.0,1.0,0.0,1.0,0.0,0.0,0,3359036
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,29.0,1.0,53,126.0,1.0,1.0,0.0,0.0,360.0,1.0,1,0.0,1.0,15456608,1.0,1.0,0.0,0.0,0.0,0.0,0,3566898
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,25.0,0.579823981542689,28,226.0,1.0,0.5436524207538244,0.0,0.0,181.0,1.0,0,0.40372267034599874,0.8435310974315432,2046804,1.0,1.0,0.0,0.0,0.0,0.0,0,3088304
1.0,1.0,0.0,0.0,1,0.0,0.0,2.0,1.0,0.0,34.688,0.0,19,219.0,2.0,0.0,0.0,0.0,500.0,1.0,0,0.0,1.0,3187331,2.0,1.0,0.0,2.0,0.0,-100.0,0,3141076
3.0,5.0,0.0,0.0,1,0.0,0.0,4.0,3.0,0.0,25.95,0.0,16,102.0,19.0,0.5436524207538244,0.0,0.0,161.0,1.0,0,1.0,0.0,7942252,3.0,1.0,0.0,0.0,0.0,0.0,0,3306483
3.0,3.0,0.0,0.0,2,0.0,0.0,3.0,1.0,1.0,107.95,0.0,58,226.0,3.0,0.0,0.0,0.0,215.0,1.0,1,1.0,1.0,4664074,3.0,1.0,0.0,0.0,0.0,0.0,0,3190997
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,107.0,0.0,19,226.0,1.0,0.0,0.0,0.0,254.0,1.0,0,0.0,1.0,14564186,1.0,1.0,0.0,0.0,0.0,0.0,0,3537863
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,16,224.0,1.0,0.0,0.0,0.0,327.0,1.0,0,0.0,0.0,11638532,1.0,0.0,0.0,0.0,0.0,0.0,0,3441893
1.0,1.0,49.0,49.0,2,0.0,0.0,1.0,1.0,1.0,49.0,1.0,16,166.0,1.0,1.0,1.0,0.0,360.0,1.0,0,0.0,1.0,10849297,1.0,1.0,1.0,0.0,0.0,0.0,0,3415836
1.0,1.0,15.985300064086914,47.95589828491211,2,47.95589828491211,0.0,3.0,1.0,1.0,15.985,0.0,16,138.0,1.0,0.0,3.0,3.0,130.0,1.0,0,0.0,1.0,15117177,4.0,1.0,1.0,3.0,15.985300064086914,0.0,0,3556964
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,75.0,0.579823981542689,34,226.0,1.0,0.5436524207538244,0.0,0.0,583.0,1.0,0,0.40372267034599874,0.8435310974315432,7395183,1.0,1.0,0.0,0.0,0.0,0.0,0,3285805
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,104.024,0.0,16,138.0,1.0,0.0,0.0,0.0,130.0,1.0,0,0.0,1.0,13551922,1.0,1.0,0.0,1.0,0.0,-11.0,1,3504306
2.0,2.0,0.0,58.95000076293945,2,0.0,0.0,1.0,3.0,0.0,54.47,0.0,16,226.0,13.0,1.0,1.0,0.0,321.0,1.0,1,1.0,1.0,3557028,2.0,1.0,0.0,0.0,0.0,0.0,0,3153919
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,117.0,1.0,16,226.0,1.0,1.0,0.0,0.0,174.0,1.0,0,0.0,1.0,4551241,1.0,1.0,0.0,0.0,0.0,0.0,0,3186793
4.0,4.0,0.0,0.0,2,0.0,0.0,2.0,2.0,0.0,67.95,0.0,16,166.0,7.0,0.5436524207538244,0.0,0.0,360.0,1.0,1,1.0,1.0,9039317,3.0,1.0,0.0,0.0,0.0,0.0,0,3350697
2.0,2.0,0.0,0.0,1,0.0,0.0,2.0,0.0,0.0,100.0,0.0,16,226.0,11.0,0.5436524207538244,0.0,0.0,387.0,1.0,0,0.0,0.0,7935123,1.0,1.0,0.0,0.0,0.0,0.0,0,3305992
2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0.0,70.426,0.0,19,224.0,3.0,0.0,0.0,0.0,408.0,1.0,0,0.0,1.0,3781481,5.0,1.0,0.0,2.0,0.0,0.0,0,3161206
2.0,2.0,0.0,0.0,2,0.0,0.0,2.0,2.0,1.0,59.0,1.0,16,166.0,2.0,1.0,0.0,0.0,194.0,1.0,0,0.0,1.0,13542713,1.0,1.0,0.0,0.0,0.0,0.0,0,3503819
1.0,1.0,0.0,100.0,1,100.0,100.0,1.0,1.0,2.0,100.0,0.579823981542689,16,226.0,1.0,0.5436524207538244,1.0,1.0,583.0,1.0,0,0.40372267034599874,0.8435310974315432,10772353,1.0,1.0,0.0,0.0,0.0,0.0,0,3412642
1.0,1.0,117.0,0.0,2,0.0,0.0,1.0,2.0,0.0,131.0,0.0,53,226.0,6.0,1.0,0.0,0.0,490.0,1.0,0,0.0,1.0,4479724,2.0,1.0,1.0,0.0,0.0,0.0,0,3185122
1.0,1.0,0.0,97.0,2,0.0,0.0,2.0,1.0,0.0,88.0,0.0,16,226.0,10.0,0.0,1.0,0.0,555.0,1.0,0,0.0,1.0,9813169,4.0,1.0,0.0,1.0,0.0,0.0,0,3377580
1.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,97.95,1.0,53,226.0,3.0,1.0,0.0,0.0,111.0,1.0,0,1.0,1.0,13814683,1.0,1.0,0.0,0.0,57.95000076293945,0.0,0,3512601
0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,369.7,1.0,16,226.0,0.0,1.0,0.0,0.0,583.0,1.0,0,1.0,1.0,10517414,1.0,1.0,0.0,0.0,0.0,0.0,0,3403200
1.0,1.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0.0,146.0,0.0,16,226.0,3.0,0.0,0.0,0.0,490.0,1.0,0,0.0,1.0,1449259,1.0,1.0,0.0,0.0,0.0,0.0,0,3050757
88.0,95.0,0.0,30.95000076293945,2,0.0,0.0,76.0,82.0,1.0,47.95,1.0,19,226.0,578.0,0.0,1.0,0.0,490.0,1.0,1,1.0,1.0,12676611,90.0,1.0,0.0,0.0,57.95000076293945,0.0,0,3473400
5.0,5.0,0.0,0.0,2,0.0,0.0,1.0,2.0,0.0,57.95,0.0,19,117.0,7.0,0.0,0.0,0.0,539.0,1.0,1,1.0,1.0,3306428,3.0,1.0,0.0,0.0,0.0,0.0,0,3145497
1.0,1.0,825.0,2975.0,1,2975.0,825.0,2.0,1.0,7.0,825.0,0.579823981542689,9,150.0,2.0,0.0,6.0,6.0,399.0,1.0,0,0.40372267034599874,0.8435310974315432,1953776,3.0,1.0,1.0,0.0,650.0,0.0,0,3081083
2.0,2.0,98.36380004882812,98.36380004882812,2,98.36380004882812,0.0,1.0,2.0,2.0,127.607,0.0,19,137.0,2.0,0.0,1.0,1.0,545.0,1.0,0,0.0,1.0,8055824,3.0,2.0,1.0,1.0,0.0,-11.0,0,3314796
1.0,2.0,0.0,0.0,2,0.0,0.0,1.0,2.0,0.0,209.95,1.0,9,226.0,22.0,0.0,0.0,0.0,555.0,1.0,0,1.0,1.0,14577435,1.0,1.0,0.0,0.0,0.0,0.0,0,3538483
2.0,2.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,57.95,0.0,16,224.0,6.0,0.0,0.0,0.0,345.0,1.0,1,1.0,1.0,10542627,1.0,1.0,0.0,0.0,0.0,0.0,0,3404657
1.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,30.0,0.579823981542689,53,219.0,1.0,0.5436524207538244,0.0,0.0,514.0,1.0,0,0.40372267034599874,0.8435310974315432,15096208,1.0,1.0,0.0,0.0,0.0,0.0,0,3555918
0.0,1.0,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0,100.0,0.579823981542689,19,226.0,0.0,0.5436524207538244,0.0,0.0,111.0,1.0,0,0.40372267034599874,0.8435310974315432,6626015,1.0,1.0,0.0,0.0,0.0,0.0,0,3259718
1.0,2.0,0.0,0.0,2,0.0,0.0,1.0,1.0,0.0,67.95,0.0,1,224.0,12.0,0.0,0.0,0.0,514.0,1.0,1,1.0,1.0,5320663,2.0,1.0,0.0,0.0,0.0,0.0,0,3211870
0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,42.559,0.0,16,102.0,0.0,0.0,0.0,0.0,103.0,1.0,0,0.0,1.0,2240403,1.0,1.0,0.0,1.0,0.0,0.0,0,3102897
2.0,2.0,0.0,0.0,2,0.0,0.0,3.0,1.0,1.0,317.5,1.0,16,226.0,27.0,1.0,0.0,0.0,215.0,1.0,0,0.0,1.0,871037,2.0,1.0,0.0,0.0,0.0,0.0,0,3022955
1.0,1.0,0.0,30.4330997467041,1,30.4330997467041,0.0,1.0,1.0,2.0,27.666,0.0,19,226.0,2.0,0.0,1.0,1.0,168.0,1.0,0,0.0,1.0,1366587,1.0,1.0,0.0,1.0,30.4330997467041,0.0,0,3046585
